Sample,Vrt,Rt,F,8.8
374,2.167441,17.065070,55.528407,0x3787
375,2.171118,17.113908,55.414240,0x376A
376,2.174794,17.162861,55.304754,0x374E
377,2.178470,17.211927,55.195718,0x3732
378,2.182146,17.261108,55.086428,0x3716
379,2.185823,17.310403,54.976881,0x36FA
380,2.189499,17.359815,54.867078,0x36DD
381,2.193175,17.409342,54.757018,0x36C1
382,2.196851,17.458985,54.646700,0x36A5
383,2.200528,17.508745,54.536122,0x3689
384,2.204204,17.558622,54.425284,0x366C
385,2.207880,17.608616,54.314186,0x3650
386,2.211556,17.658729,54.202825,0x3633
387,2.215233,17.708959,54.091201,0x3617
388,2.218909,17.759309,53.979314,0x35FA
389,2.222585,17.809777,53.867162,0x35DD
390,2.226261,17.860365,53.754744,0x35C1
391,2.229938,17.911073,53.642060,0x35A4
392,2.233614,17.961901,53.538912,0x3589
393,2.237290,18.012851,53.441350,0x3570
394,2.240966,18.063921,53.343555,0x3557
395,2.244643,18.115113,53.245528,0x353E
396,2.248319,18.166428,53.147266,0x3525
397,2.251995,18.217865,53.048770,0x350C
398,2.255671,18.269425,52.950038,0x34F3
399,2.259348,18.321108,52.851070,0x34D9
400,2.263024,18.372915,52.751864,0x34C0
401,2.266700,18.424847,52.652421,0x34A7
402,2.270376,18.476903,52.552738,0x348D
403,2.274053,18.529085,52.452816,0x3473
404,2.277729,18.581392,52.352653,0x345A
405,2.281405,18.633826,52.252248,0x3440
406,2.285081,18.686386,52.151601,0x3426
407,2.288758,18.739073,52.050711,0x340C
408,2.292434,18.791888,51.949576,0x33F3
409,2.296110,18.844831,51.848196,0x33D9
410,2.299786,18.897902,51.737996,0x33BC
411,2.303463,18.951102,51.619773,0x339E
412,2.307139,19.004432,51.501263,0x3380
413,2.310815,19.057891,51.382465,0x3361
414,2.314491,19.111481,51.263376,0x3343
415,2.318168,19.165201,51.143997,0x3324
416,2.321844,19.219053,51.024326,0x3306
417,2.325520,19.273037,50.904363,0x32E7
418,2.329196,19.327153,50.784105,0x32C8
419,2.332873,19.381401,50.663553,0x32A9
420,2.336549,19.435783,50.542704,0x328A
421,2.340225,19.490299,50.421558,0x326B
422,2.343901,19.544949,50.300114,0x324C
423,2.347578,19.599733,50.178370,0x322D
424,2.351254,19.654653,50.056326,0x320E
425,2.354930,19.709709,49.943710,0x31F1
426,2.358606,19.764901,49.839136,0x31D6
427,2.362283,19.820229,49.734303,0x31BB
428,2.365959,19.875695,49.629209,0x31A1
429,2.369635,19.931299,49.523855,0x3186
430,2.373311,19.987040,49.418239,0x316B
431,2.376988,20.042921,49.312360,0x314F
432,2.380664,20.098941,49.206217,0x3134
433,2.384340,20.155101,49.099809,0x3119
434,2.388016,20.211401,48.993136,0x30FE
435,2.391693,20.267842,48.886195,0x30E2
436,2.395369,20.324424,48.778986,0x30C7
437,2.399045,20.381148,48.671508,0x30AB
438,2.402721,20.438015,48.563761,0x3090
439,2.406398,20.495025,48.455742,0x3074
440,2.410074,20.552178,48.347452,0x3058
441,2.413750,20.609476,48.238888,0x303D
442,2.417426,20.666918,48.132877,0x3022
443,2.421103,20.724505,48.028172,0x3007
444,2.424779,20.782238,47.923203,0x2FEC
445,2.428455,20.840118,47.817968,0x2FD1
446,2.432131,20.898144,47.712466,0x2FB6
447,2.435808,20.956317,47.606696,0x2F9B
448,2.439484,21.014639,47.500657,0x2F80
449,2.443160,21.073109,47.394347,0x2F64
450,2.446836,21.131728,47.287767,0x2F49
451,2.450513,21.190497,47.180914,0x2F2E
452,2.454189,21.249416,47.073789,0x2F12
453,2.457865,21.308486,46.966389,0x2EF7
454,2.461541,21.367708,46.858714,0x2EDB
455,2.465218,21.427081,46.750762,0x2EC0
456,2.468894,21.486607,46.642533,0x2EA4
457,2.472570,21.546286,46.534025,0x2E88
458,2.476246,21.606119,46.425238,0x2E6C
459,2.479923,21.666106,46.320961,0x2E52
460,2.483599,21.726248,46.217860,0x2E37
461,2.487275,21.786546,46.114493,0x2E1D
462,2.490952,21.847000,46.010857,0x2E02
463,2.494628,21.907611,45.906953,0x2DE8
464,2.498304,21.968379,45.802780,0x2DCD
465,2.501980,22.029305,45.698335,0x2DB2
466,2.505657,22.090389,45.593618,0x2D97
467,2.509333,22.151633,45.488629,0x2D7D
468,2.513009,22.213037,45.383365,0x2D62
469,2.516685,22.274601,45.277827,0x2D47
470,2.520362,22.336326,45.172012,0x2D2C
471,2.524038,22.398213,45.065920,0x2D10
472,2.527714,22.460263,44.959550,0x2CF5
473,2.531390,22.522475,44.852900,0x2CDA
474,2.535067,22.584851,44.745969,0x2CBE
475,2.538743,22.647392,44.638757,0x2CA3
476,2.542419,22.710097,44.534387,0x2C88
477,2.546095,22.772968,44.431507,0x2C6E
478,2.549772,22.836005,44.328355,0x2C54
479,2.553448,22.899209,44.224930,0x2C39
480,2.557124,22.962581,44.121231,0x2C1F
481,2.560800,23.026121,44.017256,0x2C04
